ACTIVER;LIAI;DESIGNATION;;SECT;TEINT;TEINT2;ISO;LONG;LONG CP;Long_Add;Long_Add2;COUPE;POS;POS-OUT;FA;APP;VOI;Ref Connecteur;Ref Connecteur_Four;Ref Clip;Ref Clip Four;PRECO;Ref Joint;Ref Joint Four;POS2;POS-OUT2;FA2;APP2;VOI2;Ref Connecteur2;Ref Connecteur_Four2;Ref Clip2;Ref Clip Four2;PRECO2;Ref Joint2;Ref Joint Four2;PRECOG;OPTION;CritŠres sp‚cifiques;Commentaires
0;3XU;-CPTR TPRT AVAL FAP;96;0.5;VE;;A3Z;2185;2485;;;;;E13;18;120.AB;E2;8200679260;;;;;;;;A2;22;1288.AA;2;8200104771;;;;;;;;ALL;;
-1;;CDE+ RGL PRSN RAIL;;0.75;VE;;;1215;1515;;;;;C8;17;;;8200104797;;;;DORE;;;;E13;18;;;8200679260;;;;;;;;ALL;;
-1;;+ ALIM RZT PV GMV RFRT;;5;VE;;;1100;1250;;;;;E14;25;;;8200382789;;;;;;;;K12;1;;;8200058794;;;;;;;;ALL;;
-1;;-CDE REL GMV GV/TH GMV/CALC;;0.75;VE;;;815;1115;;;;;D13;27;;;243427Y018;;;;;;;;G14;49;;;8200244640;;;;;;;;ALL;;
-1;;ALI GMV GRANDE VITESSE;;5;VE;;;460;610;;;;;I11;66;;;EP6;;;;;;;;K13;40;;;8200058794;;;;;;;;ALL;;
-1;;ALI GMV GRANDE VITESSE;;5;VE;;;800;950;;;;;I11;66;;;EP6;;;;;;;;G14;49;;;8200244640;;;;;;;;ALL;;
-1;;ALI GMV GRANDE VITESSE;;5;VE;;;300;450;;;;;K12;1;;;8200058794;;;;;;;;I11;66;;;EP6;;;;;;;;ALL;;
-1;;+ APC PROT/FZB F.M.AR;;0.5;JA;;;1430;1730;;;;;K8;11;;;8200104793;;;;;;;;F14;26;;;24342AR443;;;;DBS02;;;;ALL;;
-1;;+ APC PROT/FZB F.M.AR;;0.75;JA;;;1775;2075;0;0;;;L4;16;;;24342AA000;;CA13C : 7703497697;CA13C : 211CC2S2160;;;;;F14;26;;;24342AR443;;;;DBS02;;;;ALL;;
-1;;+ BATT PROT/FUS PRISE DIAG,;;5;RG;;;60;210;;;;;D12;14;;;8200500167;;;;;;;;D12;51;;;7703297793;;;;;;;;ALL;;
